"D(Room, Room_GT)","D(Office, Office_GT)","D(Church, Church_GT)","D(Village, Village_GT)"
0.28736335,0.21325077,0.18580987,0.31110975
0.26167825,0.23424073,0.21054076,0.2045933
0.14231075,0.12450213,0.12498174,0.254044
0.090583034,0.11152564,0.19869013,0.16198745
0.09855254,0.08049516,0.21718365,0.12105993
0.14041293,0.13158746,0.17706163,0.22859076
0.23507513,0.25903928,0.23552985,0.20039809
0.41258407,0.114949435,0.16031995,0.32210788
0.5343839,0.0968926,0.23350455,0.04799146
0.24598657,0.15817186,0.17956616,0.17232372
0.13314539,0.10210815,0.21745794,0.18299422
0.14432831,0.098195344,0.23748924,0.07596187
0.2673692,0.16670747,0.15431255,0.14620364
0.22348075,0.16193508,0.22593997,0.2488229
0.41374338,0.45105967,0.22461914,0.44511396
0.0963375,0.096876204,0.2115228,0.23782735
0.27544746,0.1864944,0.22177012,0.29028302
0.18981043,0.19218378,0.20345938,0.19412056
0.14488104,0.16322139,0.1562535,0.13936044
0.17599145,0.1187001,0.19227114,0.087475024
0.18543814,0.19503154,0.23018304,0.23268363
0.24157155,0.26564845,0.22305687,0.14827126
0.56149954,0.14960751,0.24651077,0.14502484
0.23724532,0.19486272,0.15911043,0.04043245
0.105114594,0.11707908,0.2279528,0.14649712
0.21547371,0.20144273,0.16148047,0.2017143
0.103731446,0.20566629,0.27986303,0.16012987
0.1930932,0.19548105,0.1641025,0.14136738
0.22598879,0.19631366,0.1742334,0.29525304
0.12536056,0.08896781,0.16080555,0.12582622
0.17406876,0.1649368,0.19635102,0.21597879
0.23180497,0.09224298,0.22245952,0.25639126
0.21984862,0.28574392,0.13805857,0.33090916
0.5409537,0.09725926,0.12734404,0.6353548
0.17905398,0.16058655,0.2203993,0.1768117
0.2563326,0.07898395,0.2880383,0.024175191
0.12419132,0.088000424,0.1506346,0.18356156
0.120237656,0.12759794,0.17911978,0.10726701
0.17147478,0.18445158,0.15986982,0.044123705
0.21957852,0.19949822,0.22437029,0.29638696
0.09784083,0.12031388,0.20397772,0.20969567
0.37020546,0.26464048,0.2537961,0.28649905
0.12577692,0.28700233,0.20145366,0.19336511
0.2288481,0.24749465,0.29667997,0.15943424
0.17632753,0.20450684,0.1748126,0.19015405
0.23477589,0.14809452,0.25746015,0.23793653
0.5645205,0.12347872,0.20990843,0.053443372
0.29227877,0.11736998,0.2017663,0.20897372
0.19779591,0.23618786,0.15914097,0.16891344
0.13518469,0.14910442,0.15818916,0.13002926
0.14634697,0.106452525,0.17155315,0.14830232
0.17435208,0.14424029,0.15298131,0.21600884
0.2435323,0.17713809,0.2023286,0.27669245
0.23971981,0.14060706,0.14116763,0.20034747
0.28085676,0.09159838,0.34566465,0.14670587
0.07075676,0.09142446,0.2241616,0.12780099
0.14313664,0.11012322,0.16971861,0.1878069
0.083104394,0.10741465,0.19190803,0.2143913
0.29869023,0.09254976,0.23410572,0.24103063
0.15257625,0.1632531,0.15980908,0.17391817
0.2853124,0.17240925,0.13914974,0.2736567
0.36317015,0.17005473,0.22689646,0.08443637
0.27844316,0.13277076,0.18279538,0.28445825
0.3137514,0.18557683,0.19758758,0.2847141
0.1551152,0.115730375,0.19068241,0.19961616
0.34975395,0.10484868,0.18144071,0.15509312
0.09863313,0.0946148,0.18497407,0.06018401
0.42568618,0.20694467,0.18319567,0.24857011
0.20455077,0.26393932,0.19663292,0.20390706
0.14812697,0.10618229,0.16462395,0.18542624
0.14651833,0.09741941,0.167365,0.201331
0.18544535,0.12668844,0.19895326,0.2183442
0.12493363,0.22967027,0.1852663,0.07305769
0.13157563,0.16236013,0.17930353,0.1542318
0.25722262,0.1215639,0.20336862,0.23494665
0.27286586,0.1078142,0.12501736,0.15478265
0.29323173,0.21837875,0.16751806,0.1853317
0.22201714,0.107239634,0.25267366,0.24260537
0.37250888,0.16744791,0.19691351,0.03892647
0.057777505,0.10141125,0.18399043,0.14992437
0.2615905,0.1438304,0.10010242,0.3691471
0.16900833,0.14670269,0.1629527,0.15727785
0.4196776,0.090625055,0.26456323,0.077999234
0.13291043,0.120253764,0.18716967,0.30816013
0.13464603,0.10590636,0.17586662,0.21163179
0.2513264,0.16123644,0.15332367,0.25920144
0.20820886,0.16188698,0.18585493,0.16109876
0.19883002,0.15630305,0.24528834,0.18516871
0.14779541,0.20383015,0.17997216,0.18976746
0.15778026,0.10118561,0.15569012,0.16421387
0.22198866,0.16095601,0.24060132,0.1887121
0.1517498,0.15827295,0.23101757,0.22651674
0.31114337,0.25234345,0.21552555,0.23995171
0.20487805,0.11483299,0.24090186,0.23735802
0.40342426,0.19865358,0.25545344,0.3562396
0.11902141,0.055285275,0.19144207,0.048414435
0.43876094,0.17205866,0.15178432,0.34596175
0.1249684,0.12053784,0.1907936,0.1550379
0.50819075,0.25511596,0.14557785,0.2670012
0.2722946,0.12550284,0.1568352,0.19288403
0.14365159,0.16784635,0.2729345,0.090724535
0.33951074,0.1708497,0.17186108,0.28906256
0.22617531,0.11705939,0.19461906,0.16351035
0.12997492,0.0944615,0.16048773,0.16369098
0.1565248,0.107378654,0.19597529,0.1934313
0.15888739,0.15502134,0.21716896,0.17631048
0.31012323,0.1387278,0.19309884,0.27040723
0.20066097,0.14861895,0.21791123,0.20857067
0.1643121,0.14644709,0.22049338,0.26055655
0.11098009,0.1543145,0.14368972,0.23840994
0.16503727,0.14534074,0.16299596,0.17048822
0.10554444,0.1286738,0.197607,0.15739323
0.17832309,0.12756562,0.14706667,0.26215875
0.21027555,0.13331509,0.17767107,0.20309702
0.12416968,0.16991974,0.22050501,0.18262617
0.15672407,0.09609424,0.176292,0.1973396
0.43716758,0.22517194,0.21266572,0.16180484
0.22116192,0.1632277,0.15884317,0.20630482
0.1370127,0.10042022,0.16805081,0.12602144
0.07631861,0.07856287,0.19191916,0.102178104
0.31190276,0.07489736,0.22551061,0.016498784
0.28776574,0.35178688,0.18445376,0.24226727
0.29820615,0.09555437,0.26890132,0.041632902
0.21625769,0.1335063,0.30721474,0.0440444
0.14548469,0.10802708,0.17527096,0.15786652
0.45484334,0.25619096,0.26110274,0.301867
0.30771026,0.33659533,0.16317482,0.27317756
0.2054811,0.08862992,0.26914144,0.15010667
0.21698296,0.20373888,0.16571148,0.23157701
0.16521801,0.12159136,0.18775524,0.18449537
0.10262897,0.17290106,0.18156697,0.15355991
0.33042362,0.056471795,0.2548571,0.018552661
0.35742316,0.09384393,0.217349,0.1291451
0.3149221,0.16729882,0.15190254,0.18514892
0.21005173,0.054965552,0.20666046,0.05268483
0.22654833,0.13428661,0.23305541,0.14039549
0.36086637,0.2877795,0.22310801,0.23919849
0.61729914,0.03409973,0.16727702,0.013967212
0.3714621,0.12407129,0.19285715,0.08962566
0.17101884,0.17402728,0.20005955,0.25913835
0.22278936,0.16811274,0.15335335,0.15230425
0.18933459,0.12096309,0.16530183,0.15807009
0.22102933,0.20545349,0.17480639,0.24395241
0.15640512,0.11496557,0.16408503,0.1485729
0.28378788,0.12554137,0.16254018,0.19885752
0.17735054,0.042426914,0.218774,0.00839176
0.17349027,0.16573873,0.23482794,0.27613717
0.12220742,0.18967573,0.18120874,0.13221551
0.13750514,0.09826398,0.17158753,0.18793836
0.30666426,0.15356392,0.17407186,0.2587714
0.17802419,0.19419481,0.20447174,0.25714946
0.2148746,0.19937897,0.17872065,0.29857942
0.36701456,0.43215087,0.19458152,0.3082737
0.29412878,0.17769097,0.17673495,0.35573307
0.1560248,0.10232717,0.1601119,0.16690882
0.10948261,0.08062752,0.18427444,0.18000929
0.2599249,0.17737062,0.12638283,0.30051652
0.258616,0.2460265,0.25627974,0.18495254
0.26500747,0.17390922,0.22361812,0.20184414
0.11502476,0.10404079,0.1576395,0.1535848
0.1780815,0.29048797,0.30591404,0.1014921
0.38693407,0.16314831,0.17794238,0.26990768
0.42341933,0.20083225,0.23327677,0.33042645
0.1432877,0.114475824,0.22179243,0.1325986
0.13339022,0.12598628,0.16988738,0.15651754
0.42773122,0.14078319,0.21124694,0.32568607
0.0963155,0.07697436,0.21823356,0.15559214
0.17590691,0.1395271,0.18231101,0.26370764
0.26860735,0.15937516,0.14416394,0.23412068
0.20290919,0.15521279,0.15304036,0.16108288
0.43156874,0.13399304,0.16048537,0.490727
0.34181815,0.13766427,0.24296542,0.32815924
0.105094634,0.10078682,0.19563673,0.13844156
0.16497192,0.16792622,0.28839287,0.22938809
0.13149811,0.09793755,0.1610969,0.07483747
0.20012936,0.13137186,0.17502107,0.18442428
0.13632147,0.10963972,0.17643645,0.14406368
0.072786495,0.08160921,0.17654449,0.19036907
0.20868649,0.18602082,0.19760086,0.27668884
0.30712402,0.42982957,0.25370237,0.18693557
0.18424739,0.12821035,0.21862887,0.13016279
0.5690283,0.24771863,0.16815901,0.4618107
0.26352477,0.08283713,0.22755978,0.2113102
0.2631092,0.1785415,0.26095104,0.22629157
0.10608816,0.10828377,0.17597385,0.21285124
0.29712918,0.23138912,0.1468699,0.24668598
0.2440869,0.1745021,0.17831887,0.24732298
0.23969558,0.12348659,0.18306434,0.32553518
0.45074588,0.2717645,0.28527176,0.24309824
0.08714139,0.112635724,0.17924541,0.17573336
0.24392489,0.04789574,0.23680396,0.047035437
0.11989177,0.11645325,0.16880496,0.11984316
0.34539127,0.16885623,0.1940931,0.22542009
0.23496333,0.11903657,0.20307405,0.23987097
0.24007316,0.08030107,0.20598824,0.061965182
0.1322117,0.09054652,0.14791775,0.11347538
0.15194975,0.17179336,0.19935535,0.18521878
0.16969943,0.10374955,0.19199578,0.1463461
0.14122313,0.1411273,0.15929398,0.16092244
0.16351336,0.14481096,0.16484953,0.18654859
0.26210096,0.099805094,0.29478762,0.42625394
0.3462483,0.13483374,0.17021418,0.29456323
0.20990744,0.16075967,0.22083364,0.3437987
0.26371074,0.09877127,0.22109379,0.20218736
0.42906052,0.07735032,0.26197225,0.027211826
0.1474081,0.07568598,0.18860403,0.06858014
0.13530861,0.12927812,0.17512897,0.13817716
0.10745954,0.12359762,0.1696858,0.221805
0.08687576,0.061501987,0.1749826,0.08956619
0.18090706,0.094227396,0.18640469,0.16211331
0.28787354,0.16472945,0.20367482,0.20202383
0.31037492,0.22720014,0.21350692,0.17066053
0.21113363,0.22524463,0.16238378,0.20677428
0.4639544,0.26895523,0.16673175,0.36772704
0.2420368,0.15684028,0.14492974,0.2787797
0.1881096,0.1634982,0.17784587,0.15920798
0.46139863,0.109761804,0.26168236,0.33595327
